Dataset,Attack,Model,Clean Acc,ASR,Avg Pert,Robustness
Wine,Boundary,XGBoost,100.00%,46.67%,1.451,0.671
Wine,Boundary,LightGBM,93.33%,42.86%,2.162,0.688
Wine,Boundary,TabPFN,100.00%,73.33%,2.440,0.604
Wine,Nes,XGBoost,100.00%,26.67%,0.653,0.719
Wine,Nes,LightGBM,93.33%,28.57%,1.002,0.699
Wine,Nes,TabPFN,100.00%,66.67%,1.040,0.575
Iris,Boundary,XGBoost,100.00%,100.00%,1.832,0.473
Iris,Boundary,LightGBM,100.00%,100.00%,0.981,0.439
Iris,Boundary,TabPFN,100.00%,93.33%,1.709,0.495
Iris,Nes,XGBoost,100.00%,6.67%,0.946,0.811
Iris,Nes,LightGBM,100.00%,66.67%,0.664,0.560
Iris,Nes,TabPFN,100.00%,40.00%,1.303,0.692
